Contractor;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV
MANHATTAN KALIMANTAN INVESTMENT PTE. LTD.;0;0;0;0;0;0;0;0;0;0;0
STARBORN ENERGY BONTANG PTE. LTD.;0;0;0;0;0;0;0;0;0;0;0
AWE (NORTHWEST NATUNA) PTE. LTD.;0;0;0;0;0;0;0;0;0;0;0
TRIANGLE PASE INC.;0;0;0;0;0;0;0;0;0;0;0
OPHIR INDONESIA (MADURA OFFSHORE) PTY. LTD.;0;0;0;0;0;0;0;0;0;0;0
PT.MEDCO E&P LEMATANG;0;0;0;0;0;0;0;0;0;0;0
PERUSDA BENUO TAKA;0;0;0;0;0;0;0;0;0;0;0
PT MANDIRI PANCA USAHA;0;0;0;0;0;0;0;0;0;0;0
ENI EAST SEPINGGAN LTD.;0;0;0;0;0;0;0;0;0;0;0
PACIFIC OIL & GAS (KISARAN) LTD.;0;0;0;0;0;0;0;0;0;0;0
PT SUMATERA PERSADA ENERGI;0;0;0;0;0;0;0;0;0;0;0
SAKA ENERGI MURIAH LTD.;0;0;0;0;0;0;0;0;0;0;0
JINDI SOUTH JAMBI B CO. LTD;0;0;0;0;0;9;38;0;135;80;64
TEXCAL MAHATO EP LTD.;265;678;1355;1636;2154;2691;3580;3566;3453;3943;4069
PASIR PETROLEUM RESOURCES LTD.;0;0;0;0;0;0;0;0;0;0;0
PT PERTAMINA EP CEPU;0;0;0;0;0;0;0;0;0;0;0
