Contractor;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
PT SELE RAYA BELIDA;23;27;28;38;30;33;32;35;34;30;29;28
PT PERTAMINA HULU ENERGI NORTH SUMATERA OFFSHORE;41;14;0;0;2;296;21;0;0;0;158;0
PT PEMA GLOBAL ENERGI;685;747;906;1157;885;883;1102;1266;1196;779;313;816
PT PERTAMINA HULU ENERGI RANDUGUNTING;7;15;8;8;6;13;6;5;12;10;8;1
PT PERTAMINA EP CEPU ADK;0;0;0;0;0;0;0;0;0;0;0;0
PT SUMATRA GLOBAL ENERGI;0;0;0;0;0;0;0;0;0;0;0;0
EMP GEBANG LTD.;0;0;0;0;0;0;0;0;0;0;0;0
ENERGI MEGA PERSADA BENTU LTD;0;0;0;0;0;0;0;0;0;0;0;0
JOB PERTAMINA MEDCO SIMENGGARIS;0;0;0;0;0;0;0;0;0;0;0;0
MANHATTAN KALIMANTAN INVESTMENT PTE. LTD.;0;0;0;0;0;0;0;0;0;0;0;0
STARBORN ENERGY BONTANG PTE. LTD.;0;0;0;0;0;0;0;0;0;0;0;0
AWE (NORTHWEST NATUNA) PTE. LTD.;0;0;0;0;0;0;0;0;0;0;0;0
TRIANGLE PASE INC.;0;0;0;0;0;0;0;0;0;0;0;0
OPHIR INDONESIA (MADURA OFFSHORE) PTY. LTD.;0;0;0;0;0;0;0;0;0;0;0;0
PT.MEDCO E&P LEMATANG;0;0;0;0;0;0;0;0;0;0;0;0
PERUSDA BENUO TAKA;0;0;0;0;0;0;0;0;0;0;0;0
PT MANDIRI PANCA USAHA;0;0;0;0;0;0;0;0;0;0;0;0
ENI EAST SEPINGGAN LTD.;0;0;0;0;0;0;0;0;0;0;0;0
PACIFIC OIL & GAS (KISARAN) LTD.;0;0;0;0;0;0;0;0;0;0;0;0
PT SUMATERA PERSADA ENERGI;0;0;0;0;0;0;0;0;0;0;0;0
SAKA ENERGI MURIAH LTD.;0;0;0;0;0;0;0;0;0;0;0;0
JINDI SOUTH JAMBI B CO. LTD;0;0;0;0;0;9;38;0;135;80;64;75
TEXCAL MAHATO EP LTD.;265;678;1355;1636;2154;2691;3580;3566;3453;3943;4069;4398
PASIR PETROLEUM RESOURCES LTD.;0;0;0;0;0;0;0;0;0;0;0;215
PT PERTAMINA EP CEPU;0;0;0;0;0;0;0;0;0;0;0;0
